,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip
37,287200,3,3,1850,19966,1,0,0,4,1090,760,1992,0,1919,21,23
38,403000,3,2,1960,13100,1,0,2,5,1650,310,1957,0,1373,26,68
39,750000,3,2,2390,6550,1,0,2,4,1440,950,1955,2009,2872,35,55
40,335000,3,2,1580,16215,1,0,0,4,1580,0,1978,2000,3219,13,14
41,260000,4,2,1480,8625,1,0,0,4,1480,0,1974,0,1652,32,33
42,308500,2,1,850,6174,1,0,0,4,850,0,1950,1983,432,36,67
43,439950,3,2,1770,2875,2,0,0,3,1770,0,1990,2009,3218,35,55
44,235000,2,1,1210,9400,1,0,0,2,1210,0,1949,0,3928,35,49
45,315000,3,1,1160,9180,1,0,0,3,1160,0,1968,1997,1076,42,44
46,437500,3,2,1970,35100,2,0,0,4,1970,0,1977,0,2230,16,15
47,407500,3,2,1930,10460,2,0,0,3,1930,0,1996,0,3156,32,37
48,445700,3,2,1270,1180,3,0,0,3,1270,0,2001,0,2263,35,50
49,838000,4,2,3310,42998,2,0,0,3,3310,0,2001,0,1066,31,31
50,630000,4,2,2710,37277,2,0,0,3,2710,0,2000,0,2270,16,15
51,550000,3,1,2910,35200,1,0,0,3,2910,0,1979,2014,2989,33,43
52,805000,3,2,2710,4500,1,0,0,4,1880,830,1929,0,3646,35,54
53,284000,3,1,1800,23103,1,0,0,3,1800,0,1968,1997,2674,7,10
54,470000,5,2,2210,9655,1,0,0,3,1460,750,1976,0,1573,5,9
55,430000,4,1,1920,10000,1,0,0,4,1070,850,1954,1979,3045,3,5
56,491500,4,1,2190,125452,1,0,2,3,2190,0,1968,1997,2896,1,45
57,785000,5,3,3660,11995,2,0,2,3,3660,0,2006,0,3894,38,38
58,385000,3,3,1320,1327,2,0,0,3,1040,280,2008,0,2758,35,74
59,295000,2,2,1630,1368,2,0,0,3,1280,350,2009,0,3583,35,49
60,555000,4,2,3310,6500,2,0,0,3,3310,0,2012,1912,2831,38,38
61,459990,3,2,2680,5539,2,0,0,3,2680,0,2013,1923,759,27,27
62,625000,4,3,2730,54014,1,0,0,3,1560,1170,2007,0,4392,32,37
63,300000,3,2,2540,5050,2,0,0,3,2540,0,2006,0,2485,18,26
64,625000,4,2,2920,6605,2,0,0,3,2920,0,2012,1912,3533,32,37
65,553000,2,1,900,5000,1,0,0,3,900,0,1944,0,4039,35,56
66,379880,3,2,1650,14054,1,0,0,4,1130,520,1986,0,672,16,15
67,310000,3,1,1010,9945,1,0,0,4,1010,0,1973,0,3920,38,38
68,775000,2,2,2680,7392,1,0,0,3,2680,0,2004,2003,650,31,32
69,365000,3,2,2200,7350,1,0,0,5,1570,630,1988,0,705,32,36
70,331950,4,2,2530,9933,2,0,2,3,2010,520,1990,2009,4294,1,45
71,783500,3,2,2850,7130,2,0,0,3,1990,860,1980,0,986,35,59
72,628000,4,2,2280,6010,1,0,0,3,1140,1140,1900,2005,1690,35,59
73,560000,3,2,1900,8744,2,0,0,3,1900,0,1987,2000,1861,33,42
74,900000,3,1,1330,77972,1,0,0,3,1330,0,1928,1954,738,19,21
75,531000,2,3,1270,1175,2,0,0,3,1110,160,2000,0,804,35,47
76,831000,4,3,2170,4000,2,0,0,4,1610,560,1982,2011,394,35,53
77,780000,4,2,2730,10281,2,0,2,3,2730,0,1996,0,1940,33,42
78,755000,4,2,2120,10202,1,0,0,4,1620,500,1960,2001,569,3,4
79,705380,3,2,2490,4343,2,0,0,3,2490,0,2003,0,2624,16,17
80,627000,4,2,1990,7712,1,0,0,3,1210,780,1973,2013,1503,16,15
81,865000,4,3,3690,9892,2,0,0,3,3690,0,1998,2006,1356,33,43
82,580000,2,1,2540,7000,1,0,0,5,1320,1220,1942,0,4178,35,57
83,410000,3,2,1800,36704,1,0,0,4,1360,440,1978,2000,2083,16,15
84,485000,4,3,2340,7048,1,0,0,4,1340,1000,1979,0,862,19,22
85,400000,2,1,2110,9519,1,0,0,2,2110,0,1948,0,1754,36,67
86,549000,2,1,1140,5400,1,0,0,5,1140,0,1908,0,1725,35,53
87,620000,3,1,1480,2185,2,0,0,3,1480,0,2005,0,129,19,21
88,405000,2,3,1410,1240,2,0,0,3,1140,270,2006,0,4257,35,63
89,232000,2,1,1200,8063,1,0,0,4,1200,0,1958,1972,1660,10,73
90,800866,5,2,3180,13806,2,0,0,4,3180,0,1990,0,376,19,21
91,650000,3,1,2160,9000,1,0,2,4,1400,760,1949,1985,632,35,70
92,823000,6,1,2920,5000,2,0,0,4,2780,140,1908,0,531,35,59
93,770000,3,2,2350,5700,1,0,0,4,1810,540,1939,1989,1818,35,53
94,524000,3,1,1560,5520,1,0,0,4,780,780,1944,0,2789,35,74
95,541125,5,2,2740,8426,1,0,0,4,1370,1370,1960,2001,3436,3,5
96,670000,3,2,1680,2000,3,0,0,3,1680,0,1909,1998,2818,35,48
97,384900,5,2,3090,12750,1,0,0,3,1750,1340,1968,1997,296,14,13
98,406100,3,2,1410,1332,3,0,0,3,1410,0,2005,0,4159,35,47
99,1395000,5,3,4010,8510,2,0,1,5,2850,1160,1971,0,2991,35,48
100,736500,4,2,3180,21904,2,0,3,3,3180,0,2000,0,1291,32,37
101,570000,3,2,2010,6000,1,0,0,3,1330,680,1975,0,65,31,31
102,787000,3,1,1330,7500,1,0,0,3,1330,0,1961,2004,1822,3,3
103,328000,4,2,2370,6500,2,0,0,3,2370,0,1998,2006,560,1,45
104,435000,5,2,1840,9240,1,0,0,4,1540,300,1942,1958,782,35,62
105,499000,4,2,2910,6479,2,0,0,3,2910,0,2006,0,2761,38,38
106,501000,4,1,2070,7519,1,0,0,3,1160,910,1963,2008,2138,3,7
107,1090000,4,2,4340,141570,2,0,0,3,4340,0,1992,0,4196,31,32
108,400000,2,1,840,5510,1,0,0,3,840,0,1955,2005,3236,35,63
109,220000,4,1,1240,9600,1,0,0,3,1240,0,1971,0,3356,14,13
110,657100,4,1,1390,4240,1,0,0,3,1050,340,1924,2011,3153,35,47
111,309950,4,2,2310,5000,2,0,0,3,2310,0,2006,0,1908,21,23
112,300000,3,2,1050,10072,1,0,0,3,1050,0,1986,0,2317,11,11
113,525888,5,1,2550,71874,1,0,0,5,1810,740,1960,0,648,16,15
114,740000,4,1,2010,3600,1,0,0,3,2010,0,1902,0,50,35,58
115,340000,5,1,1120,9022,1,0,0,4,1120,0,1962,0,816,19,22
116,398750,3,2,2230,4000,2,0,0,3,2230,0,1954,2005,2219,35,64
117,206000,2,1,810,7158,1,0,0,5,810,0,1944,0,591,6,69
118,1030000,5,2,3190,16920,1,0,3,3,1690,1500,1976,0,3247,3,5
119,600000,3,1,1670,39639,1,0,0,4,1670,0,1976,1992,1393,33,43
120,379950,4,1,1970,9389,1,0,0,5,1140,830,1960,0,1252,36,62
121,287000,3,1,1450,6000,1,0,0,4,1450,0,1953,1983,4183,35,57
122,2280000,7,8,13540,307752,3,0,4,3,9410,4130,1999,0,2266,31,32
123,309950,3,2,1880,7838,2,0,0,3,1880,0,1994,0,1359,32,33
124,600000,3,1,1880,6360,1,0,0,4,1040,840,1945,0,4031,35,54
125,418000,3,2,1410,6030,1,0,0,4,1410,0,1930,0,4227,35,47
126,449250,4,2,1480,3844,1,0,0,5,1480,0,1928,1970,3428,35,62
127,329950,2,1,1140,5250,1,0,0,4,1140,0,1949,1985,784,35,62
128,245000,3,1,1920,9306,1,0,0,3,1000,920,1984,0,2495,1,0
129,549000,4,2,2910,6338,2,0,0,3,2910,0,2008,0,1112,32,37
130,800000,3,2,3240,7857,2,0,0,3,3240,0,1994,0,1893,33,43
131,249950,3,2,1550,15040,1,0,0,4,1550,0,1958,1972,1390,32,37
132,210000,5,2,2050,10200,1,0,0,3,1430,620,1956,2001,1728,10,73
133,1425000,2,2,2220,4000,2,0,0,3,2220,0,2000,0,1468,35,53
134,585000,2,1,1770,8640,1,0,0,3,1520,250,1949,1998,2838,35,56
135,615000,4,1,2300,11700,1,0,0,4,1960,340,1977,0,1452,31,31
136,618500,3,2,1800,5000,1,0,0,4,1080,720,1942,1982,2384,35,54
137,487585,4,1,2010,9211,1,0,0,3,1470,540,1977,2004,682,19,22
138,509900,3,2,1790,2700,2,0,0,3,1790,0,2010,0,3255,16,15
139,631625,4,2,2440,6651,2,0,0,3,2440,0,2014,0,4298,35,56
140,555000,3,2,1940,3211,2,0,0,3,1940,0,2009,0,3232,16,15
141,340000,2,1,1160,1438,2,0,0,3,1160,0,2001,0,656,35,64
142,830000,4,2,3400,9692,2,0,0,3,3400,0,2007,0,398,31,31
143,890000,4,4,4420,5750,2,0,0,3,3410,1010,2006,0,4131,16,15
144,366750,3,3,1571,2017,3,0,0,3,1571,0,2008,0,871,35,60
145,415000,3,2,1620,998,2,0,0,3,1540,80,2010,0,4315,16,17
146,416286,3,2,1408,989,3,0,0,3,1408,0,2005,0,3984,35,54
147,478000,3,2,3040,4535,2,0,0,3,3040,0,2007,0,1668,32,34
148,890000,5,3,4490,6000,2,0,0,3,3200,1290,2006,0,3996,16,15
149,419190,2,2,1590,1426,2,0,0,3,1590,0,2014,0,586,16,17
150,712198,4,2,2450,4247,2,0,0,3,2450,0,2013,1923,1287,31,31
151,397000,4,2,1440,7680,1,0,0,3,1200,240,1971,0,143,19,22
152,450000,2,2,1100,3000,1,0,0,3,1100,0,1912,2005,3075,35,56
153,353000,3,1,1350,7740,1,0,0,4,860,490,1947,1988,229,35,60
154,609000,4,2,2150,37981,2,0,0,3,2150,0,1985,0,1404,31,31
155,234000,3,1,1490,8366,1,0,0,4,1010,480,1975,0,2164,9,26
156,561000,3,2,2000,7000,2,0,0,3,2000,0,1916,1986,3684,35,63
157,469000,2,1,1030,4400,1,0,0,3,1030,0,1924,2011,2572,35,56
158,329350,2,1,720,6687,1,0,0,3,720,0,1942,1999,4361,35,56
159,488000,5,2,2020,5000,1,0,0,4,2020,0,1938,0,4232,35,56
160,279900,3,1,1580,8151,1,0,1,4,1100,480,1962,0,1158,10,73
161,606000,4,2,2110,13850,2,0,0,3,2110,0,1987,2000,2356,16,15
162,312000,4,2,1300,7054,1,0,0,3,1300,0,1950,2013,2398,35,65
163,650000,3,1,1630,7475,1,0,1,3,1160,470,1940,1996,3594,35,54
164,1135000,4,2,3370,8103,1,0,3,3,1970,1400,1970,2014,2987,35,63
165,325000,4,2,1890,6156,1,0,0,3,980,910,1980,0,3544,35,49
166,425000,4,2,1520,7983,1,0,0,5,1520,0,1967,0,940,15,22
167,219000,2,1,900,5160,1,0,0,3,900,0,1952,2008,4182,35,49
168,250000,3,1,1050,6874,1,0,0,3,1050,0,1954,2005,1438,36,62
169,390000,3,1,1260,6500,1,0,0,4,1260,0,1966,0,814,3,7
170,475000,6,3,3470,117612,1,0,0,3,3470,0,1924,2011,1511,17,16
171,736000,4,2,2290,12047,2,0,0,4,2290,0,1988,0,1335,3,5
172,407000,4,2,2810,23400,1,0,1,3,1710,1100,1958,2004,1922,10,73
173,272000,3,2,1650,13816,2,0,0,3,1650,0,1998,2006,2634,7,10
174,362000,3,2,1640,14374,1,0,0,4,1140,500,1963,0,1315,6,66
175,535000,3,2,1850,10109,2,0,0,3,1850,0,1991,0,4128,19,22
176,284000,4,2,2000,5390,2,0,0,3,2000,0,2003,0,2175,18,26
177,367500,3,1,1410,9647,1,0,0,3,1410,0,1961,2004,1394,36,70
178,379900,4,1,1500,11600,1,0,0,4,1000,500,1955,2009,962,17,16
179,520000,3,2,2460,54885,2,0,0,4,2460,0,1980,0,3490,32,37
180,175000,3,1,1010,7034,1,0,0,3,1010,0,1954,2005,1712,32,35
181,460000,2,2,1230,929,2,0,0,3,1020,210,2004,2003,3,35,53
182,345000,4,2,2331,3826,2,0,0,3,2331,0,2007,0,385,32,36
183,455000,5,2,2240,7770,1,0,0,3,1340,900,1978,0,566,19,22
184,610000,4,3,2450,10117,1,0,0,5,1580,870,1967,0,1052,3,5
185,563000,4,3,3100,15480,2,0,0,3,2400,700,1996,0,3892,17,16
186,612500,4,2,2060,5000,1,0,0,3,1030,1030,1949,2013,1275,35,56
187,218000,3,1,1850,7684,1,0,0,3,1320,530,1979,2014,2757,14,13
188,404000,4,1,1840,10720,1,0,0,3,960,880,1958,2004,1107,3,7
189,860000,4,2,3740,32417,2,0,0,3,3740,0,2000,0,2085,31,32
190,136500,3,1,1420,8580,1,0,0,3,1420,0,1962,2003,2703,14,13
191,313950,3,1,1510,6083,1,0,0,4,860,650,1940,2001,3090,35,54
192,575000,3,1,2130,6500,1,0,2,3,1170,960,1954,2005,1853,35,74
193,1225000,4,2,3490,6906,2,0,0,4,2280,1210,1928,0,2191,35,74
194,280000,3,1,1630,11800,1,0,0,4,1630,0,1971,0,543,27,27
195,515000,3,2,1790,7167,2,0,0,3,1790,0,1989,0,4267,33,42
196,513000,4,2,2000,5684,2,0,0,3,2000,0,1996,0,4243,17,16
197,599000,4,2,2260,29930,2,0,0,4,1400,860,1977,0,1110,3,5
198,685000,4,2,3030,7864,2,0,0,3,3030,0,1999,0,2051,33,42
199,365000,3,1,1310,8160,1,0,0,3,1310,0,1950,2005,750,35,62
200,762300,4,2,3880,14550,2,0,0,3,3880,0,1987,2000,1864,33,42
201,1580000,4,3,3760,10920,1,0,0,5,2400,1360,1950,0,3550,35,48
202,562000,5,2,3040,8111,2,0,0,3,3040,0,1984,0,1355,31,31
203,530000,5,2,2910,9636,1,0,0,4,1690,1220,1964,0,2681,3,7
204,525000,3,2,2970,11985,1,0,0,3,1770,1200,1995,0,1805,33,42
205,484000,2,1,1660,6000,1,0,0,3,1160,500,1942,1999,3303,35,48
206,725126,4,2,3200,12369,2,0,0,3,3200,0,1998,2006,914,25,37
207,360000,4,2,2680,18768,1,0,0,5,2680,0,1965,0,2610,1,0
208,387000,3,1,1230,9568,1,0,0,5,1230,0,1962,0,441,25,34
209,483500,4,2,2740,45732,2,0,0,3,2740,0,1995,0,1035,42,44
210,655500,4,3,3380,8330,2,0,0,3,3380,0,2000,0,1262,36,70
211,345000,3,1,1110,6250,1,0,0,3,1110,0,1956,2001,2669,35,54
212,533000,5,2,1800,3780,1,0,0,3,1400,400,1926,2003,3898,35,47
213,385000,3,1,1900,5520,1,0,0,3,1280,620,1982,0,3439,35,57
214,675000,2,1,930,36478,1,0,2,3,930,0,1951,1994,3108,3,5
215,197000,3,1,1690,7735,1,0,0,4,1060,630,1976,1992,2501,1,0
216,485000,3,2,1420,4080,1,0,0,3,1420,0,1905,2013,3829,35,47
217,1870000,5,4,4510,15175,2,0,0,3,4510,0,1969,2002,4105,23,25
218,295000,3,2,1980,8000,1,0,0,4,1560,420,1974,0,2629,14,13
219,499000,2,1,1170,2400,1,0,0,4,740,430,1903,0,1748,35,47
220,1050000,3,2,2200,1970,2,0,0,3,1610,590,2008,0,2147,35,46
221,191000,3,1,800,8850,1,0,0,4,800,0,1959,0,20,14,13
222,500000,3,2,1480,1171,3,0,0,3,1480,0,2006,0,713,35,53
223,390000,5,3,2890,5000,1,0,0,3,1310,1580,2006,0,2891,35,64
224,979000,3,2,2690,4047,3,0,0,3,2690,0,2014,0,3782,35,56
225,580000,4,3,3569,8327,2,0,0,3,3569,0,2013,1923,3810,32,33
226,369950,3,2,1270,1320,3,0,0,3,1270,0,2006,0,4206,35,47
227,1800000,5,5,4490,10279,2,0,0,3,3930,560,2013,1923,870,3,3
228,776000,4,2,3040,6425,2,0,0,3,3040,0,2008,0,1228,31,31
229,519950,3,2,1170,1249,3,0,0,3,1170,0,2014,0,1341,35,50
230,255000,5,2,2060,8632,1,0,0,3,1030,1030,1962,2003,124,6,65
231,495000,3,1,990,6000,1,0,0,3,990,0,1943,2002,3543,35,48
232,510000,4,2,2430,5203,2,0,0,3,2430,0,2003,0,85,36,67
233,1150000,4,4,4460,103382,2,0,0,3,4460,0,2001,0,2206,31,32
234,253000,3,1,1250,10122,1,0,0,3,1250,0,1994,0,2181,4,8
235,503000,3,2,1540,6760,1,0,0,5,1210,330,1980,0,4354,19,22
236,275000,3,2,1600,7000,2,0,0,4,1600,0,1993,0,1766,21,23
237,249000,3,1,1110,8423,1,0,0,3,1110,0,1952,2008,907,6,68
238,310000,3,1,1840,10723,1,0,0,4,1220,620,1974,0,1571,32,36
239,750000,3,2,2520,5401,1,0,0,4,1360,1160,1946,1989,2387,35,58
240,630000,3,2,2680,327135,2,0,0,3,2680,0,1995,0,2166,30,30
241,599999,9,4,3830,6988,2,0,0,3,2450,1380,1938,2003,4195,35,47
242,758000,4,2,2410,9549,1,0,0,4,1780,630,1956,0,153,19,21
243,248500,4,1,1720,10018,1,0,0,5,1720,0,1960,0,1207,9,26
244,310000,3,1,2070,37904,1,0,0,4,1420,650,1973,0,1599,18,19
245,460000,3,2,1760,9055,2,0,0,4,1760,0,1985,0,3366,31,31
246,675000,3,1,1680,10500,1,0,0,4,1680,0,1959,0,3001,3,4
247,526000,2,2,1550,2400,1,0,0,4,1550,0,1900,1971,2963,35,47
248,560000,3,3,4120,60392,2,0,2,3,3180,940,1994,0,2662,7,10
249,415000,4,3,1830,9548,2,0,0,3,1830,0,1991,0,1002,5,16
250,246000,3,1,1400,7410,1,0,0,3,1400,0,1944,0,3650,6,68
251,314500,3,1,1870,12381,1,0,0,4,1870,0,1957,2001,2478,14,2
252,3200000,7,4,6210,8856,2,0,2,5,4760,1450,1910,0,489,35,52
253,420000,2,1,1040,3500,1,0,0,4,1040,0,1904,0,1290,35,64
254,535000,3,1,2720,149410,1,0,0,3,2720,0,1988,2000,2744,7,10
255,350000,3,1,1010,9360,1,0,0,3,1010,0,1981,2013,4360,19,21
256,515000,3,1,1580,9147,1,0,1,4,1210,370,1967,0,1968,3,7
257,749950,4,2,2600,6050,2,0,0,5,1960,640,1949,0,3085,35,55
258,230000,3,2,1920,9180,2,0,0,3,1920,0,1988,2000,1700,32,35
259,568000,3,2,2350,5080,1,0,0,3,1780,570,1929,0,3516,35,57
260,250000,1,1,1100,4373,1,0,0,2,820,280,1947,0,1946,6,68
261,581000,4,2,2510,13695,1,0,0,4,1280,1230,1961,2001,246,19,21
262,651000,3,2,3240,108366,2,0,0,4,3240,0,1991,0,1474,18,26
263,600000,3,2,2460,108900,1,0,0,4,1860,600,1977,0,2186,16,15
264,500000,2,1,1010,3885,1,0,0,4,1010,0,1906,1990,2727,35,53
265,475000,2,1,820,2723,1,0,0,3,820,0,1921,2000,3272,35,47
266,352000,5,2,2420,8560,1,0,2,3,1620,800,1978,0,2915,35,57
267,420000,3,2,1770,8165,2,0,0,3,1770,0,1977,2004,609,19,22
268,428000,2,2,1350,3900,1,0,0,3,1350,0,2003,0,1957,31,32
269,599000,3,1,1960,4788,1,0,0,4,1090,870,1920,0,3654,35,54
270,492000,4,2,3305,16164,1,0,0,5,2245,1060,1922,1956,1301,36,62
271,630000,2,2,2550,5663,1,0,0,3,1720,830,2011,0,481,32,34
272,900000,5,3,4130,226076,2,0,0,3,3170,960,1985,0,593,42,44
273,1110000,4,1,2310,13300,1,0,0,3,1890,420,1950,2005,4368,8,3
274,575000,4,2,1650,5000,1,0,0,3,1650,0,1955,2005,3735,35,56
275,705000,4,2,2650,4316,1,0,0,3,1520,1130,1905,2013,1518,35,55
276,940000,4,2,1890,5940,1,0,1,3,1470,420,1963,2008,495,35,53
277,313000,3,1,2190,8000,1,0,0,4,2190,0,1967,0,2688,14,13
278,618080,3,2,2030,6500,2,0,0,3,2030,0,1988,2000,3198,16,15
279,640000,3,3,2270,5175,2,0,0,3,2130,140,2002,0,396,32,34
280,485000,3,2,1610,4160,1,0,0,4,1010,600,1917,0,3155,35,63
281,300000,2,1,760,3001,1,0,0,3,760,0,1913,1983,1350,35,64
282,379500,2,1,1640,17335,1,0,0,3,840,800,1978,0,2716,31,32
283,339950,3,2,1630,12295,2,0,0,4,1630,0,1985,0,1584,32,36
284,1500000,6,2,3560,6480,2,0,0,4,3560,0,1914,1945,4236,35,53
285,1340000,3,3,2960,5500,2,0,2,3,2440,520,1937,1990,2835,35,74
286,500000,3,2,1940,37565,1,0,0,4,1940,0,1987,0,1719,16,15
287,239900,3,2,1410,7566,1,0,0,3,1410,0,1985,0,387,18,18
288,314950,3,1,1040,16986,1,0,0,4,1040,0,1968,0,1430,32,37
289,361280,2,1,820,6400,1,0,0,4,820,0,1944,0,3572,35,61
290,100000,2,1,910,22000,1,0,0,3,910,0,1956,2001,758,0,0
291,540000,7,5,3700,7647,2,0,1,3,3700,0,1948,1984,963,20,67
292,480500,4,2,2180,11200,1,0,0,4,2180,0,1968,0,1501,42,41
293,280000,3,2,1600,4271,2,0,0,3,1600,0,2000,0,3418,1,0
294,440000,3,1,1500,6180,1,0,0,4,1060,440,1947,1988,2955,35,57
295,530000,3,1,1340,4284,1,0,0,3,1080,260,1910,2006,3299,35,48
296,560000,3,2,1860,13374,1,0,0,3,1860,0,1985,0,39,16,15
297,775000,3,2,2540,7200,1,0,3,4,1600,940,1905,0,3426,35,64
298,160000,2,1,1040,13100,1,0,0,5,1040,0,1912,0,3869,18,20
299,209950,3,1,1380,11130,1,0,0,3,1380,0,1960,2012,2635,14,2
300,226500,3,1,1640,10762,1,0,0,3,1130,510,1988,2000,2305,9,26
301,380000,5,1,3000,6000,1,0,0,5,1500,1500,1958,0,4147,35,71
302,409500,4,2,2140,13000,1,0,0,3,1320,820,1968,1997,1566,17,16
303,690000,3,2,1760,6428,1,0,0,4,980,780,1942,1982,1783,35,74
304,405000,3,2,1660,8307,1,0,0,4,1660,0,1961,2001,3609,36,62
305,375000,3,2,1830,13042,2,0,0,3,1830,0,1990,2009,2171,21,23
306,794154,4,2,2210,8556,1,0,1,4,1210,1000,1954,1979,2670,35,74
307,185000,4,1,1490,6600,1,0,0,3,1490,0,1969,2010,671,6,69
308,245000,3,1,1260,1270,2,0,0,3,1040,220,2005,0,289,35,62
309,1532500,5,4,4270,8076,2,0,0,3,3400,870,2007,0,216,19,21
310,1040000,4,3,3900,8391,2,0,0,3,3900,0,2006,0,201,19,21
311,425000,2,2,1150,1027,3,0,0,3,1150,0,2008,0,2874,35,47
312,495000,4,2,2656,21195,2,0,0,3,2656,0,2014,0,2625,1,0
313,365000,5,2,2410,5003,1,0,0,3,1410,1000,2008,0,4006,35,57
314,417250,3,2,1606,1452,3,0,0,3,1606,0,2009,0,490,35,60
315,339950,2,1,820,681,3,0,0,3,820,0,2006,0,3412,35,47
316,615000,2,1,1540,6872,1,0,0,4,820,720,1946,1989,2397,35,58
317,403000,3,2,2090,8354,2,0,0,3,2090,0,2012,1912,2379,11,11
318,980000,5,2,3160,11470,1,0,0,4,1780,1380,1971,0,3885,23,25
319,258000,4,1,1730,8320,1,0,0,3,1230,500,1977,2004,2557,14,13
320,533000,3,1,1670,4080,1,0,0,3,1170,500,1967,2011,3495,35,54
321,537500,4,2,2550,4630,2,0,0,3,2550,0,2005,0,1432,33,43
322,830000,5,3,3040,9601,1,0,0,5,1970,1070,1968,0,3432,23,25
323,712000,3,1,1250,4620,1,0,0,4,1150,100,1900,1971,2861,35,47
324,262000,4,2,2020,6236,2,0,0,3,2020,0,2002,0,3169,0,0
325,753888,4,2,2660,5500,2,0,2,3,2660,0,2003,0,1211,16,17
326,134000,2,1,980,5000,2,0,0,3,980,0,1922,2003,1981,37,75
327,402000,3,2,1960,8000,1,0,0,4,1290,670,1977,0,459,19,22
328,205000,2,1,720,5040,1,0,0,3,720,0,1955,2005,4140,35,49
329,553650,2,2,1360,1349,2,0,0,3,1050,310,1997,0,3649,35,53
330,559950,2,2,1870,4950,1,0,0,3,1870,0,2006,0,1999,31,32
331,260000,4,1,2130,8800,1,0,0,3,1100,1030,1962,2003,2074,18,20
332,270000,4,2,1810,6509,2,0,0,3,1810,0,1994,0,934,18,26
333,295000,2,1,2200,89298,1,0,0,3,1100,1100,1973,2013,2347,16,15
334,719000,3,2,1690,4500,1,0,1,4,1690,0,1928,0,3026,35,55
335,266000,3,2,1940,8547,1,0,0,3,1460,480,1989,0,2394,18,18
336,325900,4,2,2320,6270,2,0,0,3,2320,0,2004,2003,973,18,26
337,647500,4,1,2060,26036,1,0,0,4,1160,900,1947,1988,1354,26,68
338,1039000,4,1,3410,5000,2,0,0,5,2190,1220,1910,0,2141,35,64
339,569000,4,2,2250,41688,2,0,0,3,2250,0,1980,0,3853,31,32
340,246000,3,1,1390,7399,1,0,0,4,1390,0,1975,0,390,18,19
341,515000,2,1,1060,4960,1,0,0,3,1060,0,1926,2003,4092,35,47
342,207000,3,1,1490,8995,1,0,0,4,1490,0,1954,1979,557,35,69
343,780000,4,1,2480,9195,1,0,0,3,1390,1090,1950,2005,2498,3,3
